pattern_id,pattern_name,frequency,description
1,NonCSE->SDE,74,Engineers from non-CSE backgrounds transitioning into software engineering
2,Intern->SDE,18,Observed transition path: Intern->SDE
3,Campus->No Experience (Fresher),16,Observed transition path: Campus->No Experience (Fresher)
4,Amazon->Microsoft,7,Observed transition path: Amazon->Microsoft
5,Campus->TCS,6,Observed transition path: Campus->TCS
6,Intern->SDE1->SDE2,5,Observed transition path: Intern->SDE1->SDE2
7,Amazon->Blinkit,4,Observed transition path: Amazon->Blinkit
8,Campus->Capgemini,4,Observed transition path: Campus->Capgemini
9,Campus->Amazon,4,Observed transition path: Campus->Amazon
10,Qualcomm->Microsoft,4,Observed transition path: Qualcomm->Microsoft
11,Campus->,3,Observed transition path: Campus->
12,Campus->NxtWave,3,Observed transition path: Campus->NxtWave
13,Flipkart->Microsoft,3,Observed transition path: Flipkart->Microsoft
14,Flipkart->Blinkit,2,Observed transition path: Flipkart->Blinkit
15,Spinny->Blinkit,2,Observed transition path: Spinny->Blinkit
16,DeHaat->Blinkit,2,Observed transition path: DeHaat->Blinkit
17,Scaler->Blinkit,2,Observed transition path: Scaler->Blinkit
18,MakeMyTrip->Blinkit,2,Observed transition path: MakeMyTrip->Blinkit
19,Zomato->Blinkit,2,Observed transition path: Zomato->Blinkit
20,Accenture->Blinkit,2,Observed transition path: Accenture->Blinkit
21,Campus->Blinkit,2,Observed transition path: Campus->Blinkit
22,Campus->PayPal,2,Observed transition path: Campus->PayPal
23,Aryagami Cloud Services->Aaslin technologies private limited,1,Observed transition path: Aryagami Cloud Services->Aaslin technologies private limited
24,EDVEDHA->,1,Observed transition path: EDVEDHA->
25,JSpiders - Training & Development Center->Adena sports and Adhvik Indoor Golf,1,Observed transition path: JSpiders - Training & Development Center->Adena sports and Adhvik Indoor Golf
26,Apxor->Adtran,1,Observed transition path: Apxor->Adtran
27,Api partners infotech pvt ltd->Aicodecenter Technologies,1,Observed transition path: Api partners infotech pvt ltd->Aicodecenter Technologies
28,eVitalRx->AimInfologics,1,Observed transition path: eVitalRx->AimInfologics
29,Netaji Subhas Institute of Technology->Airtel Digital,1,Observed transition path: Netaji Subhas Institute of Technology->Airtel Digital
30,Tata Toyo Radiator Ltd->Amazon,1,Observed transition path: Tata Toyo Radiator Ltd->Amazon
31,Imagine Multi Services Pvt Ltd->American Express,1,Observed transition path: Imagine Multi Services Pvt Ltd->American Express
32,Campus->ArtigenZ IT Solutions Private Limited,1,Observed transition path: Campus->ArtigenZ IT Solutions Private Limited
33,Campus->Bidgely,1,Observed transition path: Campus->Bidgely
34,MediBuddy->Blinkit,1,Observed transition path: MediBuddy->Blinkit
35,Park+->Blinkit,1,Observed transition path: Park+->Blinkit
36,performance and improving efficiency across our platform.->Blinkit,1,Observed transition path: performance and improving efficiency across our platform.->Blinkit
37,Lenskart.com->Blinkit,1,Observed transition path: Lenskart.com->Blinkit
38,MX Player->Blinkit,1,Observed transition path: MX Player->Blinkit
39,Wealthy->Blinkit,1,Observed transition path: Wealthy->Blinkit
40,Contlo->Blinkit,1,Observed transition path: Contlo->Blinkit
41,Software Developer - II->Blinkit,1,Observed transition path: Software Developer - II->Blinkit
42,Cyware->Blinkit,1,Observed transition path: Cyware->Blinkit
43,Atlan->Blinkit,1,Observed transition path: Atlan->Blinkit
44,Infosys->Blinkit,1,Observed transition path: Infosys->Blinkit
45,Vymo->Blinkit,1,Observed transition path: Vymo->Blinkit
46,Pocket FM->Blinkit,1,Observed transition path: Pocket FM->Blinkit
47,Walmart Global Tech India->Blinkit,1,Observed transition path: Walmart Global Tech India->Blinkit
