signal_id,signal_name,signal_type,weight,description
1,Go,Skill,10,Frequently occurring skill in engineering profiles (34 count)
2,Java,Skill,8,Frequently occurring skill in engineering profiles (30 count)
3,Python,Skill,6,Frequently occurring skill in engineering profiles (21 count)
4,C++,Skill,5,Frequently occurring skill in engineering profiles (18 count)
5,C Programming,Skill,4,Frequently occurring skill in engineering profiles (12 count)
6,SQL,Skill,4,Frequently occurring skill in engineering profiles (10 count)
7,Data Structures,Skill,4,Frequently occurring skill in engineering profiles (10 count)
8,Microservices,Skill,4,Frequently occurring skill in engineering profiles (10 count)
9,Spring Boot,Skill,4,Frequently occurring skill in engineering profiles (8 count)
10,Kubernetes,Skill,4,Frequently occurring skill in engineering profiles (8 count)
11,Redis,Skill,4,Frequently occurring skill in engineering profiles (7 count)
12,Git & GitHub,Skill,4,Frequently occurring skill in engineering profiles (5 count)
13,Docker,Skill,4,Frequently occurring skill in engineering profiles (5 count)
14,REST APIs,Skill,4,Frequently occurring skill in engineering profiles (4 count)
15,Algorithms,Skill,4,Frequently occurring skill in engineering profiles (3 count)
16,PostgreSQL,Skill,4,Frequently occurring skill in engineering profiles (3 count)
17,MySQL,Skill,4,Frequently occurring skill in engineering profiles (2 count)
18,Operating Systems,Skill,4,Frequently occurring skill in engineering profiles (1 count)
19,Linux Basics,Skill,4,Frequently occurring skill in engineering profiles (1 count)
20,Low Level Design,Skill,4,Frequently occurring skill in engineering profiles (1 count)
21,High Level Design,Skill,4,Frequently occurring skill in engineering profiles (1 count)
22,Page 1 of,Education,10,Strong representation of graduates from Page 1 of (6 profiles)
23,VIT Vellore,Education,10,Strong representation of graduates from VIT Vellore (5 profiles)
24,Page 2 of,Education,9,Strong representation of graduates from Page 2 of (4 profiles)
25,PES University,Education,8,Strong representation of graduates from PES University (3 profiles)
26,SRM University,Education,8,Strong representation of graduates from SRM University (3 profiles)
27,Malaviya National Institute of Technology Jaipur,Education,8,Strong representation of graduates from Malaviya National Institute of Technology Jaipur (3 profiles)
28,"Indian Institute of Technology , Varanasi",Education,8,"Strong representation of graduates from Indian Institute of Technology , Varanasi (3 profiles)"
29,"Birla Institute of Technology and Science, Pilani",Education,8,"Strong representation of graduates from Birla Institute of Technology and Science, Pilani (3 profiles)"
30,National Institute of Technology Rourkela,Education,8,Strong representation of graduates from National Institute of Technology Rourkela (3 profiles)
31,Jaypee Institute Of Information Technology,Education,7,Strong representation of graduates from Jaypee Institute Of Information Technology (2 profiles)
32,PSG College of Technology,Education,7,Strong representation of graduates from PSG College of Technology (2 profiles)
33,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Education,7,Strong representation of graduates from INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN (2 profiles)
34,BMS Institute of Technology,Education,7,Strong representation of graduates from BMS Institute of Technology (2 profiles)
35,"Indraprastha Institute of Information Technology, Delhi",Education,7,"Strong representation of graduates from Indraprastha Institute of Information Technology, Delhi (2 profiles)"
36,"Indian Institute of Technology, Kharagpur",Education,7,"Strong representation of graduates from Indian Institute of Technology, Kharagpur (2 profiles)"
37,Netaji Subhas Institute of Technology,Education,7,Strong representation of graduates from Netaji Subhas Institute of Technology (2 profiles)
38,National Institute of Technology Jamshedpur,Education,7,Strong representation of graduates from National Institute of Technology Jamshedpur (2 profiles)
39,Delhi Technological University,Education,7,Strong representation of graduates from Delhi Technological University (2 profiles)
40,Motilal Nehru National Institute Of Technology,Education,7,Strong representation of graduates from Motilal Nehru National Institute Of Technology (2 profiles)
41,AmazonExperience,Career,10,Observed transition pattern from Amazon (11 profiles)
42,FlipkartExperience,Career,10,Observed transition pattern from Flipkart (6 profiles)
43,AccentureExperience,Career,10,Observed transition pattern from Accenture (4 profiles)
44,QualcommExperience,Career,10,Observed transition pattern from Qualcomm (4 profiles)
45,ZomatoExperience,Career,9,Observed transition pattern from Zomato (3 profiles)
46,JPMorgan Chase & Co.Experience,Career,9,Observed transition pattern from JPMorgan Chase & Co. (3 profiles)
47,FactSetExperience,Career,8,Observed transition pattern from FactSet (2 profiles)
48,American ExpressExperience,Career,8,Observed transition pattern from American Express (2 profiles)
49,ZohoExperience,Career,8,Observed transition pattern from Zoho (2 profiles)
50,Tata Consultancy ServicesExperience,Career,8,Observed transition pattern from Tata Consultancy Services (2 profiles)
51,Jio PlatformsExperience,Career,8,Observed transition pattern from Jio Platforms (2 profiles)
52,The Sparks FoundationExperience,Career,8,Observed transition pattern from The Sparks Foundation (2 profiles)
53,Crio.DoExperience,Career,8,Observed transition pattern from Crio.Do (2 profiles)
54,PhonePeExperience,Career,8,Observed transition pattern from PhonePe (2 profiles)
55,AdobeExperience,Career,8,Observed transition pattern from Adobe (2 profiles)
