role_skill_id,company_role_id,skill_id,priority
1,1,2,High
2,1,1,High
3,1,6,Medium
4,1,7,Medium
5,1,25,Medium
6,1,26,Low
7,1,3,Low
8,1,16,Low
9,2,2,High
10,2,1,High
11,2,6,High
12,2,7,Medium
13,2,13,Medium
14,2,25,Medium
15,2,26,Low
16,2,10,Low
17,2,16,Low
18,2,3,Low
19,3,2,High
20,3,1,High
21,3,4,High
22,3,5,High
23,3,6,Medium
24,3,7,Medium
25,3,8,Medium
26,3,9,Medium
27,3,10,Medium
28,3,11,Low
29,3,13,Low
30,3,25,Low
31,3,26,Low
32,3,17,Low
33,4,2,High
34,4,1,High
35,4,4,High
36,4,5,High
37,4,6,High
38,4,7,Medium
39,4,8,Medium
40,4,9,Medium
41,4,10,Medium
42,4,11,Medium
43,4,13,Low
44,4,14,Low
45,4,15,Low
46,4,17,Low
47,4,25,Low
48,4,26,Low
49,5,2,High
50,5,1,High
51,5,4,High
52,5,5,High
53,5,6,High
54,5,7,Medium
55,5,8,Medium
56,5,9,Medium
57,5,10,Medium
58,5,11,Medium
59,5,13,Low
60,5,14,Low
61,5,15,Low
62,5,17,Low
63,5,25,Low
64,5,26,Low
65,6,2,High
66,6,1,High
67,6,4,High
68,6,5,High
69,6,6,High
70,6,7,Medium
71,6,8,Medium
72,6,9,Medium
73,6,10,Medium
74,6,11,Medium
75,6,13,Medium
76,6,14,Low
77,6,15,Low
78,6,17,Low
79,6,24,Low
80,6,25,Low
81,6,26,Low
82,7,2,High
83,7,1,High
84,7,4,High
85,7,5,High
86,7,6,Medium
87,7,7,Medium
88,7,8,Medium
89,7,10,Medium
90,7,13,Low
91,7,24,Low
92,7,25,Low
93,7,26,Low
94,8,2,High
95,8,1,High
96,8,3,High
97,8,4,High
98,8,5,High
99,8,6,Medium
100,8,9,Medium
101,8,10,Medium
102,8,11,Medium
103,8,12,Medium
104,8,13,Medium
105,8,15,Low
106,8,16,Low
107,8,17,Low
108,8,18,Low
109,8,25,Low
110,8,26,Low
111,9,12,High
112,9,19,High
113,9,20,High
114,9,21,Medium
115,9,7,Medium
116,9,13,Medium
117,9,25,Low
118,9,26,Low
119,9,3,Low
120,9,6,Low
121,10,1,High
122,10,3,High
123,10,7,High
124,10,8,Medium
125,10,13,Medium
126,10,14,Medium
127,10,24,Low
128,10,25,Low
129,10,26,Low
130,10,6,Low
131,11,2,High
132,11,3,High
133,11,22,High
134,11,23,Medium
135,11,7,Medium
136,11,13,Medium
137,11,25,Low
138,11,26,Low
139,11,6,Low
140,12,3,High
141,12,17,High
142,12,25,High
143,12,26,Medium
144,12,1,Medium
145,12,6,Medium
146,12,7,Low
147,12,13,Low
148,12,14,Low
149,12,15,Low
