transition_id,profile_id,source_company_id,target_company_id
1,1,7,413
2,1,413,29
3,1,29,7
4,2,259,7
5,3,8,260
6,3,260,8
7,3,8,23
8,3,23,7
9,4,7,8
10,5,201,202
11,5,202,7
12,5,7,203
13,5,203,8
14,6,23,30
15,6,30,7
16,7,31,7
17,11,33,34
18,11,34,3
19,11,3,35
20,12,21,7
21,14,22,36
22,14,36,37
23,14,37,7
24,16,38,7
25,16,7,38
26,16,38,7
27,17,39,40
28,17,40,41
29,17,41,7
30,18,42,43
31,18,43,44
32,18,44,45
33,18,45,46
34,18,46,47
35,18,47,7
36,19,48,49
37,19,49,7
38,20,19,50
39,21,51,52
40,21,52,53
41,21,53,7
42,22,54,7
43,23,55,56
44,23,56,7
45,24,57,58
46,24,58,59
47,24,59,60
48,24,60,61
49,24,61,14
50,24,14,7
51,25,62,7
52,26,63,7
53,26,7,64
54,26,64,7
55,27,65,7
56,28,66,19
57,29,67,68
58,29,68,7
59,33,69,19
60,34,70,71
61,34,71,7
62,36,72,7
63,37,7,8
64,38,6,7
65,39,261,262
66,39,262,7
67,39,7,60
68,40,263,264
69,40,264,265
70,40,265,7
71,40,7,266
72,40,266,60
73,41,267,7
74,41,7,60
75,42,268,269
76,42,269,97
77,42,97,270
78,42,270,97
79,42,97,199
80,42,199,97
81,42,97,271
82,43,76,13
83,43,13,1
84,44,77,78
85,44,78,79
86,44,79,1
87,45,80,7
88,45,7,1
89,46,81,82
90,46,82,83
91,46,83,84
92,46,84,1
93,47,85,1
94,48,86,87
95,48,87,88
96,48,88,89
97,48,89,1
98,49,54,1
99,50,90,91
100,50,91,11
101,50,11,1
102,51,92,93
103,51,93,1
104,52,94,95
105,52,95,1
106,53,96,1
107,54,97,98
108,54,98,12
109,54,12,1
110,55,7,1
111,56,99,100
112,56,100,9
113,56,9,100
114,56,100,101
115,56,101,6
116,56,6,102
117,56,102,1
118,57,103,104
119,57,104,1
120,58,418,1
121,59,419,420
122,59,420,421
123,59,421,422
124,59,422,423
125,59,423,105
126,59,105,1
127,60,106,107
128,60,107,108
129,60,108,1
130,61,109,110
131,61,110,16
132,61,16,1
133,62,111,112
134,62,112,113
135,62,113,114
136,62,114,115
137,62,115,2
138,62,2,1
139,63,116,117
140,63,117,1
141,64,118,1
142,65,119,6
143,65,6,1
144,66,120,121
145,66,121,122
146,66,122,15
147,66,15,1
148,67,123,1
149,68,124,125
150,68,125,126
151,68,126,127
152,68,127,128
153,68,128,1
154,69,129,130
155,69,130,131
156,69,131,5
157,69,5,1
158,70,132,133
159,70,133,7
160,70,7,134
161,70,134,135
162,70,135,1
163,71,136,137
164,71,137,1
165,72,2,1
166,72,1,2
167,73,140,141
168,73,141,27
169,73,27,1
170,74,21,1
171,75,146,147
172,75,147,148
173,75,148,1
174,76,149,150
175,76,150,151
176,76,151,152
177,76,152,1
178,77,153,154
179,77,154,1
180,78,155,156
181,78,156,157
182,78,157,1
183,79,158,1
184,80,159,160
185,80,160,161
186,80,161,160
187,80,160,162
188,80,162,163
189,80,163,21
190,80,21,1
191,81,164,165
192,81,165,166
193,81,166,167
194,81,167,168
195,81,168,1
196,82,7,1
197,83,272,273
198,83,273,33
199,83,33,274
200,83,274,1
201,84,275,103
202,84,103,276
203,84,276,1
204,85,277,278
205,85,278,279
206,85,279,1
207,86,280,153
208,86,153,281
209,86,281,282
210,86,282,1
211,87,283,22
212,89,8,284
213,89,284,285
214,89,285,239
215,89,239,286
216,89,286,287
217,90,288,21
218,90,21,6
219,91,289,290
220,91,290,6
221,91,6,291
222,91,291,8
223,91,8,292
224,91,292,293
225,92,294,295
226,92,295,296
227,92,296,297
228,92,297,6
229,92,6,298
230,92,298,6
231,92,6,295
232,93,299,300
233,93,300,6
234,93,6,175
235,93,175,238
236,94,301,302
237,94,302,303
238,94,303,304
239,94,304,305
240,94,305,6
241,94,6,306
242,94,306,8
243,95,204,307
244,95,307,308
245,97,19,309
246,98,310,311
247,99,169,9
248,100,170,171
249,100,171,7
250,100,7,9
251,101,172,23
252,101,23,7
253,101,7,9
254,102,173,9
255,103,176,177
256,103,177,31
257,103,31,9
258,104,87,178
259,104,178,179
260,104,179,180
261,104,180,181
262,104,181,9
263,105,183,184
264,105,184,183
265,105,183,184
266,105,184,185
267,105,185,7
268,105,7,9
269,106,186,9
270,107,187,188
271,107,188,9
272,108,56,189
273,108,189,6
274,108,6,9
275,109,190,191
