company_id,company_name,industry,company_type
1,Blinkit,E-Commerce,Product
2,Zomato,FoodTech,Product
3,Swiggy,FoodTech,Product
4,Paytm,FinTech,Product
5,PhonePe,FinTech,Product
6,Flipkart,E-Commerce,Product
7,Amazon,E-Commerce,MNC
8,Google,Technology,MNC
9,Microsoft,Technology,MNC
10,Meta,SocialMedia,MNC
11,Pocket FM,MediaTech,Startup
12,Probo,GamingTech,Startup
13,e3NexT Solutions,IT Services,Startup
14,Rippling,HRTech,Startup
15,Alltius,AI/ML,Startup
16,FRND,SocialTech,Startup
105,Finrep AI,Technology,Startup
18,Toddle,EdTech,Startup
19,TCS,IT Services,MNC
20,Wipro,IT Services,MNC
21,Accenture,IT Services,MNC
22,Cognizant,IT Services,MNC
23,Infosys,IT Services,MNC
24,FactSet,Technology,Startup
25,American Express,Technology,Startup
26,Tata Consultancy Services,Technology,Startup
27,HashedIn,Technology,Startup
28,GoScale Technologies,Technology,Startup
29,Software Development Engineer III,Technology,Startup
30,University of Oklahoma,Technology,Academic
31,MyMedGlobal,Technology,Startup
32,Zoho,Technology,Startup
33,V-REAP Foundation,Technology,Startup
34,Lead4u,Technology,Startup
35,Voice Qube,Technology,Startup
36,Pucho Technology Information Private Limited,Technology,Startup
37,Mate Labs,Technology,Startup
38,KocharTech,Technology,Startup
39,Offshore Software Solutions,Technology,Startup
40,Mad Street Den,Technology,Startup
41,30% of development efforts leading to higher throughputs,Technology,Startup
42,Shopconnect.live,Technology,Startup
43,Toddle - Your Teaching Partner,Technology,Startup
44,Rocket,Technology,Startup
45,Virtusa,Technology,Startup
46,Edyst,Technology,Startup
47,EPAM Systems,Technology,Startup
48,Jio Platforms,Technology,Product
49,Web Development Intern,Technology,Startup
50,Samsung Electronics,Technology,Startup
51,Wipro Digital,Technology,Startup
52,Manhattan Associates,Technology,Startup
53,based on user inputs.,Technology,Startup
54,PayPal,Technology,Startup
55,LinkedIn,Technology,Startup
56,cppsecrets.com,Technology,Startup
57,Cogos Technologies Pvt Ltd,Technology,Startup
58,Predigle,Technology,Startup
59,Josh Technology Group,Technology,Startup
60,Deloitte,Technology,Startup
61,NICE Ltd,Technology,Startup
62,FlexTrade,Technology,Startup
63,Codingal,Technology,Startup
64,BillFree Labs,Technology,Startup
65,Zolo,Technology,Startup
66,MAQ Software,Technology,Startup
67,Kaggle,Technology,Startup
68,The Sparks Foundation,Technology,Startup
69,Falistro,Technology,Startup
70,Codepro Management Private Limited,Technology,Startup
71,TOMIA,Technology,Startup
72,ATONARP,Technology,Startup
73,Prismforce,Technology,Startup
74,Lean In @IGDTUW,Technology,Startup
75,Markytics,Technology,Startup
76,Project Intern,Technology,Startup
77,HELLA,Technology,Startup
78,NEWME,Technology,Startup
79,backend changes. Developed the project using ReactJs and ReScript.,Technology,Startup
80,NOGOZO,Technology,Startup
81,Chegg Inc.,Technology,Startup
82,Ecowiser,Technology,Startup
83,Bungee Tech,Technology,Startup
84,MIRROR SCORE,Technology,Startup
85,DataToBiz,Technology,Startup
86,reducing significant efforts to query multiple services,Technology,Startup
87,Yubi,Technology,Startup
88,Bennett University,Technology,Academic
89,MapOut,Technology,Startup
90,Crio.Do,Technology,Startup
91,JPMorgan Chase & Co.,Technology,Startup
92,ixigo,Technology,Startup
93,Engineering IIT Ropar,Technology,Startup
94,E-CELL IIT ROPAR,Technology,Startup
95,ASEAN-INDIA Hackathon,Technology,Startup
96,Urban Company,Technology,Startup
97,Red Hat,Technology,Startup
98,significantly.,Technology,Startup
