education_id,profile_id,college,degree,field
1,1,JNTU Vizianagaram,BTech,Computer Science
2,2,VIT Vellore,BTech,Computer Science
3,6,PES University,BE,Computer Science
4,6,"Children Senior Secondary school, Kota",SSLC  ·,
5,6,Page 2 of,St. Mary's School,Najibabad High School
6,7,Raghu Engineering College,BTech,Computer Science
7,7,Sri Chaitanya Junior College,Intermediate,MPC
8,8,"Faculty of Engineering and Technology, Jamia Millia Islamia, Central",University,"New Delhi, India Bachelor of Technology - BTech, Computer Engineering"
9,10,Jaypee Institute Of Information Technology,BTech,Computer Science
10,10,St. Don Bosco Senior Secondary School,·,
11,11,Gayatri Vidya Parishad College of Engineering,BTech,CSE
12,11,Sri Chaitanya Junior College,intermediate,mpc
13,13,"GALGOTIA S COLLEGE OF ENGINEERING AND TECHNOLOGY,",BTech,Computer Science
14,14,"Indian Institute of Information Technology, SriCity",Bachelor's degree,Computer Science
15,17,International Institute of Information Technology Hyderabad,BTech,Computer Science
16,17,"Shiksha Niketan higher Secondary School Jeevan nagal,jammu,J&K",Secondary School  ·,
17,17,"St. paul's convent high school,Gangyal Jammu",High School,
18,18,SRM University,Bachelor's degree,Computer Science
19,18,Nand Vidya Niketan,High School,
20,18,Air Force School Jamnagar,High School,
21,19,West Bengal University of Technology,BTech,Computer Science & Engineering
22,20,VNR Vignanajyothi Institute of Engineering & Technology,BTech,Information Technology
23,20,Narayana Junior College - India,Intermediate,MPC
24,21,PSG College of Technology,MSc,Software Systems
25,22,Bhagwan Parshuram Institute Of Technology,BTech,Information Technology
26,24,Pune Institute of Computer Technology,BE,Computer Engineering
27,25,"College of Engineering, Guindy",BTech,Information Technology
28,26,Harcourt Butler Technological Institute,BTech,Computer Science
29,27,"The National Institute Of Engineering, Mysore",BE,Information Technology
30,31,The Coding School,Certificate,Quantum Computing
31,31,"Indian Institute of Information Technology, Design and",Manufacturing,"Jabalpur Bachelor of Technology - BTech, Computer Science"
32,31,Deogiri College Aurangabad,Hsc  ·,
33,32,Netaji Subhash Engineering College,MCA,"Computer Programming, Specific Applications"
34,32,Netaji Subhash Engineering College,Bachelor of Computer Application(H),"Computer Programming, Specific Applications"
35,32,Naktala High School,High School,"Business/Commerce, General"
36,32,Naktala High School,10th,General Studies
37,33,"Indian Institute of Technology, Bhilai",Page 2 of 3 Bachelor's degree,Computer Engineering
38,33,RBK School,·,
39,34,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,BTech,Computer Science
40,34,Apeejay School Pitampura,·,
41,35,College of Engineering Pune,MTech,
42,35,SRM University,BTech,
43,35,"DAV Public School, Airoli",Higher Secondary,CBSE
44,36,BMS Institute of Technology,BE,Computer Science
45,36,Sri Chaitanya College of Education,Senior secondary education   ·,
46,37,Indian Institute of Information Technology Dharwad,BTech,Computer Science and Engineering
47,38,"Indraprastha Institute of Information Technology, Delhi",BTech,Computer Science
48,40,VIT Vellore,BTech,Computer Science
49,40,Arwachin Bharti Bhawan Sr. Sec. School,Higher Secondary School Certificate,PCM
50,40,Arwachin Bharti Bhawan Sr. Sec. School,Page 1 of 2 Secondary School Certificate  ·,
51,41,"Indian Institute of Technology, Kharagpur",Minor in Mathematics & Computing + Micro in Entrepreneurship and Innovation   ·,
52,41,"Lord's International School, Alwar",Senior Secondary,"(Physics, Chemistry, Maths)"
53,42,VIT Vellore,BTech,Computer Science
54,42,Page 1 of,High School,
55,42,Ann Mary School,10th,
56,43,Malaviya National Institute of Technology Jaipur,BTech,Computer Science
57,44,"Indraprastha Institute of Information Technology, Delhi",MTech,Computer Science
58,45,"Indian Institute of Technology, Ropar",BTech,Electrical Engineering
59,45,A.V.M.D. Institute Agra,Intermediate  ·,
60,45,St. George's College Agra,High School,
61,46,PES University,BTech,Computer Science
62,47,VIT Vellore,Bachelor's degree,Information Technology
63,47,Page 1 of,Shakti Higher Secondary,Science
64,47,TGES,Secondary  ·,
65,48,"Indian Institute of Technology, Roorkee",BTech,Mechanical Engineering
66,49,KIET Group of Institutions,BTech,Computer science and information technology
67,51,Indian Institute of Information Technology Kota,BTech,Computer Engineering
68,51,Kids Paradise Sen Sec School,10+2  ·,
69,52,Indian Institute Of Information Technology Allahabad,BTech,Electronics and communication Engineering  (May 2019 - July 2023) Hansraj Smarak Sr. Sec. School
70,53,Page 1 of,BTech,Mechanical Engineering
71,55,"Indian Institute of Technology , Varanasi",Dual Degree,
72,57,Thapar Institute of Engineering & Technology,BTech,Electronics and Computer Engineering
73,57,"Amity International School, Sector 43, Gurgaon",Class 12,PCM
74,60,Page 1 of,Indian Institute of Engineering Science and Technology (IIEST),"Shibpur Bachelor of Technology - BTech, Information Technology"
75,62,"Indian Institute of Technology, Bombay",BTech,Computer Science
76,64,Page 1 of,Indian Institute of Technology Jodhpur Computer Science and Engineering,Computer Science
77,66,Netaji Subhas Institute of Technology,BE,Information Technology
78,67,Indian Institute of Information Technology Guwahati,BTech,Computer Science and Engineering
79,67,Shiv Jyoti Convent School,Page 2 of 3 Class 12 Kendriya Vidyalaya No.1 Salt Lake Class 10  ·,
80,68,"Kurukshetra University, Kurukshetra",BTech,Computer Science
81,68,Page 1 of,High School,Non-Medical
82,68,Central Board of Secondary Education,10th,General Studies
83,69,freeCodeCamp,Full Stack Web Development Certification,Computer Software Engineering
84,69,Maharaja Surajmal Institute Of Technology,BTech,Electronics and Communications Engineering
85,70,"Birla Institute of Technology and Science, Pilani",BE,Chemical Engineering
86,71,"Indian Institute of Technology, Guwahati",MTech,Computer Science
87,72,National Institute of Technology Jamshedpur,BTech,computer science and engineering
88,73,Sreenidhi Institute of Science and Technology,Engineer’s Degree,CSE
89,73,Govt. Polytechnic College,Page 3 of 4 Diploma in Computer engineering  ·,
90,73,Gowtham model school,SSC  ·,
91,74,Netaji Subhas Institute of Technology,BTech,"Electrical, Electronics and Communications Engineering"
92,76,National Institute of Technology Rourkela,Minor in Computer Science and Engineering,"Computer Science  (August 2019 - May 2022) National Institute of Technology Rourkela Page 2 of 3 Bachelor of Technology - BTech, Electronics and Instrumentation  (July 2018 - May 2022) Malda Zilla School"
93,77,Institute of Engineering and Technology,BTech,Computer Science Engineering
