profile_id,skill_id
1,1
1,7
1,6
1,2
1,25
1,16
1,10
1,3
1,13
2,1
2,2
2,6
2,10
2,7
2,13
2,16
2,3
3,17
3,10
3,25
3,12
3,5
3,1
3,3
3,9
3,6
3,16
3,2
4,13
4,4
4,2
4,9
4,18
4,6
4,15
4,12
4,5
4,1
4,26
5,4
5,16
5,2
5,11
5,5
5,13
5,12
5,6
5,26
5,18
5,1
5,15
5,10
5,3
5,9
6,4
6,16
6,5
6,10
6,13
6,6
6,3
6,15
6,12
6,26
6,11
7,3
7,6
7,11
7,15
7,4
7,26
7,10
7,9
7,5
7,16
7,25
7,17
8,10
8,2
8,16
8,6
8,9
8,5
8,25
8,4
9,9
9,25
9,26
9,13
9,10
9,3
9,5
9,15
9,4
9,17
9,6
9,16
9,11
10,26
10,2
10,1
10,5
10,3
10,16
10,25
10,7
10,8
10,6
10,17
10,10
10,12
10,13
11,4
11,11
11,16
11,13
11,6
11,2
11,5
11,9
12,18
12,1
12,15
12,26
12,5
12,11
12,3
12,17
12,2
12,16
13,5
13,15
13,16
13,3
13,11
13,18
13,1
13,12
13,6
13,10
13,13
14,15
14,12
14,4
14,1
14,18
14,25
14,2
14,13
14,10
15,5
15,26
15,13
15,10
15,11
15,3
15,25
15,16
15,9
16,9
16,12
16,26
16,13
16,17
16,6
16,10
16,11
16,16
16,2
16,25
17,3
17,13
17,1
17,12
17,11
17,4
17,17
17,15
17,18
17,2
17,6
18,6
18,2
18,1
18,25
18,3
18,26
18,10
18,16
19,7
19,5
19,13
19,10
19,15
19,8
19,4
19,17
19,26
19,11
19,1
19,9
19,14
19,3
19,2
20,15
20,2
20,1
20,25
20,13
20,22
20,6
20,10
20,21
20,7
20,26
20,24
20,16
20,3
21,18
21,10
21,17
21,2
21,25
21,11
21,26
21,1
21,15
21,12
21,16
21,13
22,17
22,25
22,10
22,4
22,9
22,1
22,3
22,16
22,15
22,12
23,18
23,12
23,9
23,15
23,17
23,11
23,13
23,10
23,3
23,4
23,16
23,2
24,16
24,10
24,1
24,13
24,3
24,26
24,7
24,25
25,26
25,6
25,1
25,11
25,2
25,3
25,16
25,12
25,13
25,4
25,10
25,18
25,5
25,17
25,15
26,16
26,2
26,25
26,13
26,7
26,26
26,3
26,10
27,13
27,6
27,7
27,25
27,2
27,22
27,3
27,16
27,26
27,1
27,10
28,4
28,3
28,11
28,26
28,18
28,5
28,25
28,6
28,2
28,17
28,13
28,9
28,16
28,10
28,12
29,26
29,1
29,13
29,17
29,11
29,5
29,18
29,2
29,3
29,15
29,25
29,9
30,11
30,12
30,25
30,4
30,15
30,6
30,17
30,5
30,26
30,10
31,2
31,3
31,13
31,9
31,5
31,1
31,15
31,6
31,25
31,16
31,26
31,12
32,10
32,1
32,13
32,16
32,5
32,3
32,25
32,23
32,4
32,26
32,14
32,18
32,2
32,6
32,7
33,13
33,10
33,25
33,7
33,16
33,2
33,26
33,1
33,3
34,1
34,6
34,15
34,25
34,16
34,9
34,13
34,4
34,5
34,3
34,18
34,17
34,26
34,12
35,25
35,10
35,4
35,17
35,26
35,6
35,5
35,18
36,1
36,9
36,25
36,6
36,5
36,2
36,16
36,17
36,11
36,18
36,12
37,1
37,4
37,18
37,5
37,3
37,12
37,17
37,26
37,2
37,9
37,16
37,6
37,10
38,26
38,4
38,9
38,12
38,25
38,5
38,1
38,18
38,13
38,16
38,3
38,10
38,11
38,17
39,4
39,12
39,11
39,5
39,13
39,9
39,6
39,15
39,17
39,3
39,2
39,26
39,16
40,12
40,16
40,11
40,17
40,1
40,5
40,15
40,4
40,9
40,6
41,18
41,26
41,13
41,4
41,11
41,10
41,3
41,2
41,5
41,6
41,1
41,12
41,25
41,15
41,9
42,1
42,2
42,4
42,10
42,12
42,25
42,17
42,9
42,18
42,16
43,21
43,25
43,6
43,3
43,10
43,26
43,1
43,4
43,23
43,8
43,16
43,2
43,7
43,5
43,13
44,18
44,6
44,15
44,17
44,10
44,16
44,5
44,4
44,13
44,26
44,25
44,2
44,3
44,12
45,12
45,10
45,5
45,6
45,17
45,11
45,2
45,3
45,26
46,16
46,5
46,15
46,4
46,2
46,9
46,18
46,6
46,11
46,10
46,17
47,6
47,25
47,10
47,26
47,7
47,1
47,16
47,2
48,15
48,12
48,16
48,9
48,17
48,11
48,26
48,25
49,25
49,10
49,5
49,9
49,26
49,1
49,17
49,6
49,13
49,3
49,11
50,5
50,1
50,18
50,9
50,12
50,16
50,13
50,25
50,2
50,17
50,11
50,4
50,10
50,15
50,26
51,7
51,2
51,26
51,1
51,10
51,11
51,13
51,9
51,15
51,16
51,14
51,6
51,3
51,25
52,16
52,3
52,6
52,2
52,26
52,1
52,25
52,13
53,15
53,6
53,12
53,18
53,26
53,16
53,2
53,3
53,5
53,13
53,11
53,1
54,16
54,26
54,15
54,4
54,2
54,12
54,13
54,17
54,25
54,5
54,9
54,6
55,2
55,13
55,9
55,7
55,11
55,6
55,26
55,17
55,25
56,25
56,26
56,2
56,6
56,3
56,16
56,10
56,7
57,26
57,11
57,12
57,16
57,25
57,10
57,15
57,9
57,5
57,6
58,26
58,6
58,9
58,25
58,3
58,1
58,16
58,10
58,13
58,2
58,7
59,11
59,13
59,5
59,12
59,15
59,18
59,26
59,1
59,25
59,4
59,17
59,2
59,10
60,23
60,1
60,2
60,7
60,6
60,25
60,18
60,8
60,13
60,26
60,3
60,10
60,16
60,15
60,21
61,2
61,10
61,6
61,25
61,8
61,3
61,23
61,26
61,9
61,12
61,7
61,15
61,1
62,12
62,10
62,6
62,3
62,5
62,1
62,11
62,17
62,16
62,15
62,25
63,5
63,25
63,2
63,17
63,1
63,12
63,26
63,10
63,15
63,11
63,3
63,18
64,11
64,25
64,2
64,17
64,18
64,9
64,10
64,16
65,5
65,26
65,16
65,12
65,25
65,2
65,4
65,15
66,10
66,16
66,26
66,18
66,5
66,12
66,9
66,25
66,1
66,2
66,13
66,17
66,6
66,3
67,6
67,10
67,3
67,11
67,2
67,18
67,1
67,9
67,25
68,12
68,2
68,4
68,5
68,15
68,17
68,10
68,25
68,18
68,16
68,9
68,6
68,13
68,26
68,11
69,10
69,5
69,18
69,25
69,3
69,2
69,1
69,16
69,17
70,18
70,4
70,10
70,15
70,5
70,17
70,9
70,16
70,11
70,26
70,25
70,1
71,17
71,13
71,12
71,5
71,1
71,2
71,4
71,18
72,11
72,2
72,16
72,18
72,3
72,10
72,26
72,15
73,6
73,17
73,13
73,25
73,10
73,2
73,16
73,26
73,9
73,12
73,3
73,18
74,6
74,13
74,9
74,15
74,10
74,5
74,25
74,18
74,11
75,18
75,3
75,6
75,5
75,26
75,2
75,9
75,11
76,18
76,17
76,1
76,4
76,11
76,6
76,12
76,10
77,2
77,9
77,5
77,11
77,3
77,18
77,10
77,13
77,26
77,1
77,6
77,15
77,17
77,25
77,4
78,17
78,3
78,4
78,26
78,2
78,10
78,16
78,25
79,12
79,11
79,9
79,17
79,10
79,16
79,4
79,15
79,25
79,3
79,13
79,2
79,5
79,6
79,1
80,17
80,13
80,18
80,16
80,11
80,5
80,1
80,15
80,12
80,10
80,9
80,2
81,6
81,16
81,25
81,23
81,11
81,1
81,13
81,26
81,10
81,12
81,18
81,2
81,7
81,15
81,3
82,4
82,18
82,2
82,11
82,10
82,1
82,3
82,9
82,13
82,25
82,26
82,17
82,6
83,25
83,13
83,21
83,26
83,10
83,1
83,2
83,11
83,22
83,3
83,18
83,7
83,16
83,6
84,4
84,18
84,3
84,15
84,5
84,1
84,17
84,6
84,13
85,15
85,26
85,9
85,3
85,4
85,11
85,18
85,12
85,17
85,25
85,2
85,1
86,10
86,25
86,18
86,12
86,3
86,4
86,26
86,5
86,13
86,17
86,6
86,1
86,15
86,16
87,3
87,18
87,6
87,12
87,5
87,13
87,9
87,16
87,10
87,17
88,16
88,25
88,2
88,4
88,9
88,12
88,6
88,15
88,5
88,11
88,1
89,11
89,1
89,12
89,17
89,13
89,15
89,25
89,18
89,10
89,5
89,9
89,2
89,26
89,3
90,6
90,16
90,7
90,3
90,13
90,1
90,25
90,26
90,2
90,10
90,21
91,3
91,12
91,6
91,15
91,9
91,26
91,4
91,17
91,11
91,18
92,6
92,11
92,18
92,17
92,10
92,5
92,26
92,2
92,16
92,12
92,25
92,9
93,15
93,3
93,16
93,9
93,1
93,5
93,11
93,2
93,10
93,6
93,13
93,17
93,25
93,4
94,4
94,10
94,25
94,1
94,12
94,11
94,6
94,16
94,26
94,2
94,13
94,15
94,3
95,4
95,5
95,1
95,18
95,25
95,10
95,2
95,13
95,26
95,3
95,11
95,9
95,15
95,6
96,15
96,4
96,26
96,8
96,10
96,7
96,5
96,1
96,6
96,25
97,13
97,10
97,15
97,22
97,1
97,25
97,7
97,6
97,12
97,26
97,16
97,2
97,3
97,4
97,8
98,10
98,5
98,16
98,12
98,4
98,2
98,11
98,18
98,17
98,13
98,3
98,15
98,25
99,11
99,5
99,3
99,26
99,25
99,18
99,2
99,1
100,1
100,13
100,6
100,7
100,3
100,16
100,2
100,26
100,25
100,10
101,26
101,4
101,15
101,2
101,10
101,16
101,6
101,11
101,17
101,18
101,5
101,12
101,9
101,1
102,18
102,1
102,25
102,10
102,9
102,16
102,13
102,2
102,17
102,11
102,26
102,15
103,5
103,3
103,25
103,26
103,12
103,13
103,16
103,11
103,6
103,9
103,17
103,10
103,18
104,26
104,17
104,2
104,16
104,15
104,18
104,13
104,11
104,4
104,9
104,12
104,25
104,10
104,3
104,6
105,17
105,4
105,6
105,9
105,18
105,13
105,5
105,16
105,3
105,10
105,1
105,26
105,12
105,15
106,4
106,15
106,16
106,3
106,11
106,1
106,12
106,18
106,13
106,6
106,10
106,25
106,26
106,17
107,16
107,10
107,6
107,3
107,26
107,20
107,2
107,24
107,7
107,25
107,1
107,4
107,12
107,13
108,11
108,1
108,3
108,5
108,15
108,17
108,6
108,13
109,6
109,5
109,12
109,13
109,9
109,2
109,3
109,1
110,26
110,9
110,25
110,18
110,10
110,6
110,3
110,15
110,5
111,3
111,2
111,26
111,18
111,16
111,12
111,1
111,25
111,5
111,10
111,6
111,4
111,9
112,17
112,11
112,4
112,16
112,25
112,2
112,6
112,9
112,15
112,5
112,13
112,12
112,10
112,18
112,3
113,2
113,10
113,9
113,12
113,1
113,16
113,4
113,5
113,13
113,3
113,18
113,25
114,13
114,4
114,1
114,10
114,15
114,9
114,3
114,26
114,16
114,25
114,5
114,11
115,3
115,16
115,17
115,15
115,1
115,9
115,25
115,10
115,2
115,6
115,5
115,4
115,18
116,17
116,12
116,2
116,9
116,1
116,6
116,3
116,25
116,10
116,15
116,16
116,4
116,26
116,18
117,6
117,13
117,3
117,2
117,10
117,19
117,11
117,25
117,17
117,24
117,16
117,1
117,7
117,26
118,9
118,6
118,12
118,3
118,16
118,13
118,2
118,17
118,10
118,11
118,26
118,5
119,13
119,26
119,3
119,10
119,2
119,17
119,15
119,5
119,12
119,1
119,18
119,11
119,25
119,9
119,16
120,2
120,26
120,6
120,17
120,5
120,25
120,13
120,15
120,11
120,9
120,4
120,16
120,18
120,1
120,12
121,13
121,25
121,11
121,3
121,1
121,10
121,2
121,6
121,26
121,17
121,16
122,18
122,26
122,11
122,25
122,12
122,3
122,6
122,13
122,5
122,9
122,4
123,22
123,13
123,2
123,20
123,21
123,25
123,3
123,26
123,7
123,10
123,6
123,1
123,16
124,25
124,3
124,16
124,2
124,7
124,22
124,13
124,23
124,21
124,1
124,26
124,10
124,6
125,13
125,7
125,3
125,2
125,26
125,6
125,25
125,1
126,5
126,3
126,26
126,17
126,16
126,2
126,11
126,13
126,12
126,1
127,5
127,16
127,3
127,18
127,17
127,15
127,12
127,25
127,10
127,1
127,4
127,13
127,2
128,12
128,18
128,4
128,11
128,25
128,5
128,10
128,16
128,6
128,13
128,26
128,3
128,9
128,15
128,1
129,20
129,25
129,5
129,2
129,9
129,7
129,1
129,3
129,26
129,6
129,21
130,26
130,5
130,17
130,9
130,2
130,4
130,10
130,6
130,1
130,18
130,11
130,15
130,25
130,3
130,13
131,3
131,15
131,4
131,1
131,6
131,2
131,13
131,16
131,26
131,11
131,17
131,10
131,18
131,25
132,17
132,1
132,26
132,2
132,25
132,5
132,4
132,3
132,9
132,7
132,14
132,10
132,15
132,6
132,8
133,8
133,15
133,11
133,14
133,10
133,26
133,2
133,17
134,1
134,24
134,10
134,13
134,4
134,3
134,5
134,7
134,18
134,26
134,25
134,2
134,6
134,20
134,8
135,10
135,13
135,2
135,7
135,25
135,16
135,1
135,26
135,3
136,16
136,15
136,5
136,25
136,1
136,6
136,2
136,17
137,4
137,13
137,3
137,1
137,6
137,11
137,16
137,18
137,10
137,15
137,25
138,5
138,3
138,15
138,16
138,10
138,1
138,26
138,4
138,18
138,12
139,11
139,10
139,9
139,7
139,17
139,8
139,5
139,1
140,10
140,13
140,15
140,14
140,1
140,11
140,6
140,5
140,2
140,25
140,4
141,17
141,14
141,6
141,3
141,8
141,13
141,25
141,26
141,9
141,5
141,7
141,1
141,4
141,10
142,6
142,12
142,26
142,2
142,17
142,18
142,13
142,5
142,25
142,10
142,11
142,15
142,4
142,16
143,15
143,18
143,1
143,26
143,6
143,12
143,9
143,5
143,25
143,2
143,16
143,13
143,4
143,3
143,17
144,1
144,5
144,17
144,12
144,13
144,10
144,26
144,3
144,2
144,4
145,15
145,16
145,12
145,1
145,18
145,3
145,13
145,10
145,6
145,11
145,4
145,17
145,5
146,26
146,15
146,9
146,6
146,13
146,5
146,4
146,2
146,1
146,3
147,26
147,16
147,18
147,11
147,2
147,5
147,15
147,10
147,4
147,13
147,6
147,17
147,25
147,1
147,9
148,15
148,2
148,26
148,25
148,3
148,7
148,6
148,1
148,23
149,6
149,26
149,14
149,25
149,9
149,4
149,2
149,13
149,3
149,10
149,7
149,8
150,13
150,10
150,16
150,6
150,7
150,2
150,1
150,25
151,16
151,25
151,11
151,9
151,26
151,17
151,12
151,2
151,3
151,6
151,10
151,1
152,18
152,15
152,3
152,17
152,16
152,11
152,13
152,12
152,26
152,25
152,4
152,5
152,1
152,6
152,10
153,12
153,6
153,3
153,25
153,15
153,4
153,17
153,11
153,5
153,2
154,9
154,11
154,3
154,13
154,5
154,12
154,25
154,2
154,17
154,18
154,16
154,26
155,6
155,13
155,17
155,12
155,1
155,16
155,2
155,15
155,5
155,4
156,1
156,25
156,18
156,13
156,11
156,5
156,17
156,15
156,10
156,4
156,9
156,6
156,16
156,3
157,3
157,2
157,26
157,10
157,9
157,17
157,15
157,4
157,6
157,18
157,13
157,11
157,16
157,5
157,25
158,15
158,4
158,6
158,25
158,10
158,2
158,5
158,16
158,17
158,3
159,2
159,12
159,9
159,17
159,25
159,18
159,4
159,3
159,6
160,9
160,6
160,10
160,11
160,18
160,16
160,5
160,15
160,1
160,2
160,4
160,13
160,26
161,7
161,13
161,1
161,17
161,5
161,8
161,10
161,25
161,14
161,15
161,26
162,17
162,5
162,18
162,25
