id,project_id,skill_id
1,1,1
2,1,4
3,1,6
4,1,26
5,2,1
6,2,5
7,2,26
8,2,25
9,3,1
10,3,5
11,3,7
12,3,25
13,4,2
14,4,11
15,4,4
16,4,10
17,5,2
18,5,11
19,5,6
20,5,16
21,6,3
22,6,17
23,6,4
24,6,7
25,7,12
26,7,20
27,7,5
28,8,1
29,8,6
30,8,16
31,8,7
32,9,2
33,9,11
34,9,5
35,9,10
36,10,1
37,10,5
38,10,6
39,10,25
40,11,1
41,11,7
42,11,13
43,11,25
44,12,19
45,12,12
46,12,4
47,12,17
48,13,3
49,13,6
50,13,5
51,13,26
52,14,12
53,14,20
54,14,5
55,14,19
56,15,3
57,15,5
58,15,7
59,16,22
60,16,23
61,16,6
62,17,3
63,17,18
64,17,19
65,17,16
66,18,1
67,18,6
68,19,2
69,19,7
70,20,3
71,20,8
72,21,4
73,21,9
74,22,5
75,22,10
76,23,6
77,23,11
78,24,7
79,24,12
80,25,8
81,25,13
82,26,9
83,26,14
84,27,10
85,27,15
86,28,11
87,28,16
88,29,12
89,29,17
90,30,13
91,30,18
92,31,14
93,31,19
94,32,15
95,32,20
96,33,16
97,33,21
98,34,17
99,34,22
100,35,18
101,35,23
102,36,19
103,36,24
104,37,20
105,37,25
106,38,21
107,38,26
108,39,22
109,39,1
110,40,23
111,40,2
112,41,24
113,41,3
114,42,25
115,42,4
116,43,26
117,43,5
118,44,1
119,44,6
120,45,2
121,45,7
122,46,3
123,46,8
124,47,4
125,47,9
126,48,5
127,48,10
128,49,6
129,49,11
130,50,7
131,50,12
132,51,8
133,51,13
134,52,9
135,52,14
136,53,10
137,53,15
138,54,11
139,54,16
140,55,12
141,55,17
142,56,13
143,56,18
144,57,14
145,57,19
146,58,15
147,58,20
148,59,16
149,59,21
150,60,17
151,60,22
152,61,18
153,61,23
154,62,19
155,62,24
156,63,20
157,63,25
158,64,21
159,64,26
160,65,22
161,65,1
162,66,23
163,66,2
164,67,24
165,67,3
166,68,25
167,68,4
168,69,26
169,69,5
170,70,1
171,70,6
172,71,2
173,71,7
174,72,3
175,72,8
176,73,4
177,73,9
178,74,5
179,74,10
180,75,6
181,75,11
