id,student_id,project_id,status
1,2,2,In Progress
2,4,2,In Progress
3,6,2,In Progress
4,7,3,In Progress
5,8,3,In Progress
6,9,2,Completed
7,10,2,In Progress
8,11,1,Completed
9,12,3,Completed
10,13,1,Completed
11,14,1,Completed
12,17,2,In Progress
13,19,2,In Progress
14,21,3,In Progress
15,22,3,In Progress
16,24,2,In Progress
17,27,1,In Progress
18,28,2,Completed
19,30,2,Completed
20,32,2,Completed
21,33,3,In Progress
22,34,3,Completed
23,35,3,Completed
24,37,3,In Progress
25,38,1,Completed
26,39,3,Completed
27,40,2,In Progress
28,44,1,In Progress
29,45,2,In Progress
30,47,3,Completed
31,49,3,Completed
32,50,2,In Progress
33,53,1,Completed
34,54,1,In Progress
35,55,1,Completed
36,56,2,In Progress
37,57,1,Completed
38,59,1,In Progress
39,60,1,In Progress
40,65,3,Completed
41,71,1,In Progress
42,73,2,In Progress
43,75,2,Completed
44,76,2,In Progress
45,77,2,In Progress
46,78,2,Completed
47,79,3,In Progress
48,81,1,Completed
49,84,3,In Progress
50,90,1,Completed
51,92,3,Completed
52,93,3,In Progress
53,94,3,In Progress
54,96,3,Completed
55,100,2,Completed
56,101,1,Completed
57,103,2,Completed
58,104,2,In Progress
59,105,2,In Progress
60,106,2,In Progress
61,109,1,Completed
62,110,1,In Progress
63,111,2,In Progress
64,112,1,Completed
65,116,2,In Progress
66,117,1,Completed
67,118,3,Completed
68,120,3,Completed
