id,student_id,skill_id,proficiency
1,1,1,Intermediate
2,1,14,Beginner
3,1,5,Intermediate
4,1,13,Advanced
5,1,19,Beginner
6,2,4,Beginner
7,2,8,Intermediate
8,2,12,Advanced
9,2,22,Advanced
10,3,5,Advanced
11,3,7,Beginner
12,3,10,Beginner
13,4,24,Advanced
14,4,10,Advanced
15,4,19,Beginner
16,4,22,Advanced
17,4,4,Advanced
18,5,17,Beginner
19,5,2,Intermediate
20,6,9,Intermediate
21,6,4,Advanced
22,7,22,Intermediate
23,7,26,Beginner
24,7,10,Advanced
25,7,23,Intermediate
26,7,1,Intermediate
27,8,23,Beginner
28,8,21,Beginner
29,8,10,Beginner
30,8,4,Intermediate
31,8,8,Advanced
32,9,2,Beginner
33,9,4,Advanced
34,9,16,Advanced
35,9,24,Beginner
36,10,17,Advanced
37,10,12,Intermediate
38,10,24,Beginner
39,11,16,Intermediate
40,11,4,Beginner
41,11,9,Intermediate
42,12,8,Advanced
43,12,16,Beginner
44,13,24,Advanced
45,13,8,Intermediate
46,13,3,Advanced
47,14,6,Advanced
48,14,13,Advanced
49,15,9,Beginner
50,15,13,Advanced
51,15,25,Advanced
52,15,24,Beginner
53,15,23,Intermediate
54,16,21,Beginner
55,16,13,Advanced
56,16,16,Intermediate
57,17,10,Beginner
58,17,16,Intermediate
59,17,23,Beginner
60,17,21,Beginner
61,17,22,Advanced
62,18,14,Advanced
63,18,3,Intermediate
64,18,22,Beginner
65,18,13,Intermediate
66,18,16,Advanced
67,19,11,Intermediate
68,19,10,Intermediate
69,19,3,Beginner
70,19,8,Advanced
71,19,26,Advanced
72,20,7,Intermediate
73,20,3,Beginner
74,20,25,Advanced
75,20,21,Intermediate
76,21,9,Advanced
77,21,12,Advanced
78,21,16,Intermediate
79,22,14,Beginner
80,22,16,Beginner
81,22,18,Beginner
82,23,22,Beginner
83,23,1,Beginner
84,23,9,Intermediate
85,24,5,Advanced
86,24,12,Beginner
87,24,20,Beginner
88,24,17,Advanced
89,25,9,Advanced
90,25,23,Advanced
91,25,26,Intermediate
92,25,8,Intermediate
93,26,1,Advanced
94,26,15,Beginner
95,27,25,Intermediate
96,27,22,Intermediate
97,27,23,Beginner
98,28,21,Beginner
99,28,11,Advanced
100,28,10,Intermediate
101,29,7,Intermediate
102,29,22,Beginner
103,29,11,Advanced
104,29,17,Advanced
105,30,13,Beginner
106,30,2,Beginner
107,31,4,Intermediate
108,31,6,Intermediate
109,31,19,Intermediate
110,31,16,Beginner
111,32,19,Beginner
112,32,20,Beginner
113,33,10,Beginner
114,33,21,Intermediate
115,33,22,Intermediate
116,33,9,Advanced
117,34,18,Advanced
118,34,21,Intermediate
119,34,13,Intermediate
120,34,19,Intermediate
121,35,12,Advanced
122,35,21,Beginner
123,35,13,Intermediate
124,35,20,Intermediate
125,35,7,Beginner
126,36,12,Beginner
127,36,21,Beginner
128,36,10,Intermediate
129,37,15,Intermediate
130,37,16,Advanced
131,38,1,Intermediate
132,38,3,Beginner
133,39,24,Advanced
134,39,17,Intermediate
135,40,9,Intermediate
136,40,5,Beginner
137,40,1,Beginner
138,40,22,Advanced
139,40,25,Intermediate
140,41,9,Beginner
141,41,14,Intermediate
142,42,4,Advanced
143,42,9,Advanced
144,42,26,Intermediate
145,42,6,Advanced
